                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                      0,                0.89284,                0.76541,                 1.6757,                 1.2632,                0.77631,                0.61066,                0.62156,                0.42425,                0.80119,                0.43964,                0.54283,                0.28578,                0.86159,                0.87456,                 1.5141,                 1.3294,                0.07024,              0.0033067,              0.0033067
                      1,                0.72757,                0.49216,                0.88397,                 1.1449,                0.80021,                0.75956,                 0.7587,                0.49341,                0.66638,                0.61778,                0.57897,                0.38254,                0.93567,                0.83334,                 1.2597,                 1.3229,               0.039977,              0.0063771,              0.0063771
                      2,                0.76321,                0.49711,                0.87358,                  1.153,                 0.7651,                0.52952,                0.63811,                0.40873,                0.67541,                 0.4601,                0.54988,                0.32868,                  1.193,                 1.0496,                 1.4187,                 1.5223,              0.0094501,              0.0091834,              0.0091834
                      3,                0.84768,                0.53109,                0.93015,                 1.2171,                0.60164,                0.53823,                0.59172,                0.38445,                0.77414,                0.39269,                 0.5485,                0.30072,                 1.1323,                0.89015,                 1.4784,                 1.5163,               0.008812,               0.008812,               0.008812
                      4,                0.86454,                0.54223,                0.89658,                 1.2291,                0.77936,                 0.6733,                0.73309,                0.47516,                0.60358,                0.71982,                0.64965,                0.33901,                 1.0529,                0.86982,                 1.4567,                  1.376,               0.008812,               0.008812,               0.008812
                      5,                 0.8911,                0.56427,                0.91453,                 1.2441,                0.77897,                0.77716,                0.74356,                 0.4391,                0.66856,                 0.6167,                0.54063,                0.28195,                 1.2386,                0.88492,                 1.5376,                 1.6439,               0.008416,               0.008416,               0.008416
                      6,                0.85455,                0.52725,                0.83935,                 1.2136,                0.54436,                0.63022,                0.58488,                0.36479,                 0.4975,                0.55936,                0.50094,                0.26924,                 1.1069,                0.88088,                  1.621,                 1.5287,                0.00802,                0.00802,                0.00802
                      7,                0.88787,                0.53527,                0.87589,                 1.2487,                0.77741,                0.63759,                0.65341,                 0.4218,                0.76962,                0.63392,                0.61068,                0.27126,                 0.9603,                0.89453,                 1.6404,                 1.3539,               0.007624,               0.007624,               0.007624
                      8,                0.84836,                0.50563,                0.81673,                 1.2153,                0.78808,                0.64135,                 0.6703,                0.46196,                0.79003,                0.64839,                0.66118,                0.34017,                0.93019,                0.74847,                 1.1929,                 1.2815,               0.007228,               0.007228,               0.007228
                      9,                0.86296,                0.51721,                0.82442,                 1.2113,                0.78893,                 0.8317,                0.81233,                0.52865,                0.80599,                0.61217,                0.65819,                0.34778,                0.91934,                0.83174,                 1.0614,                 1.3275,               0.006832,               0.006832,               0.006832
                     10,                0.81358,                0.48737,                0.76485,                 1.1925,                0.68961,                0.63201,                0.60963,                 0.4354,                0.53898,                0.63682,                 0.5177,                0.30746,                0.97509,                0.80906,                    1.3,                 1.3733,               0.006436,               0.006436,               0.006436
                     11,                0.80559,                0.48999,                 0.7476,                  1.179,                0.77124,                0.75617,                0.73378,                0.50331,                0.81324,                0.67304,                 0.6839,                 0.3677,                0.97401,                0.72658,                 1.2388,                 1.3339,                0.00604,                0.00604,                0.00604
                     12,                0.78046,                0.45609,                0.71524,                  1.169,                0.76807,                0.70645,                0.74162,                0.47589,                0.87936,                0.52626,                0.62667,                 0.3395,                 1.0202,                0.73216,                 1.2104,                 1.3657,               0.005644,               0.005644,               0.005644
                     13,                0.77153,                0.46309,                0.72469,                 1.1584,                 0.8501,                0.85111,                0.82828,                0.54311,                0.72137,                0.68684,                0.60861,                0.33678,                0.97305,                0.78333,                 1.0495,                 1.3259,               0.005248,               0.005248,               0.005248
                     14,                0.76037,                0.43713,                0.69216,                 1.1543,                0.88376,                0.62173,                0.71616,                 0.4771,                0.87294,                0.61116,                0.63718,                0.32029,                0.98083,                0.81103,                 1.2845,                  1.379,               0.004852,               0.004852,               0.004852
                     15,                0.74012,                0.42865,                0.78954,                  1.194,                0.93107,                0.75688,                0.82491,                0.56489,                0.92351,                0.74984,                0.78551,                0.41221,                0.88693,                0.76317,                 1.0696,                 1.2741,               0.004456,               0.004456,               0.004456
                     16,                0.72453,                0.40091,                0.73812,                 1.1677,                0.84484,                0.81329,                0.84014,                0.60194,                0.91239,                0.67656,                0.76834,                0.43338,                0.89504,                0.75557,                0.94366,                 1.2766,                0.00406,                0.00406,                0.00406
                     17,                0.68295,                0.38409,                0.68041,                 1.1483,                0.86983,                0.84511,                0.84975,                0.60705,                0.76891,                0.77226,                0.77311,                0.43658,                0.88362,                0.85543,                 1.0072,                 1.2485,               0.003664,               0.003664,               0.003664
                     18,                0.68666,                0.37889,                0.65062,                 1.1261,                0.78238,                0.85368,                0.82099,                0.58516,                0.81639,                  0.627,                0.67797,                0.43997,                0.93781,                0.74064,                0.85239,                 1.4197,               0.003268,               0.003268,               0.003268
                     19,                 0.6852,                0.37541,                0.63201,                 1.1393,                 0.8592,                0.84336,                0.83092,                0.58487,                0.74907,                0.68108,                0.65964,                0.39258,                0.83828,                 1.0299,                0.83996,                 1.2117,               0.002872,               0.002872,               0.002872
                     20,                0.61543,                0.34683,                0.59104,                 1.1028,                0.83328,                0.77852,                0.80351,                0.57921,                0.73602,                0.70422,                0.69444,                0.45101,                0.86931,                0.67829,                0.87142,                 1.2739,               0.002476,               0.002476,               0.002476
                     21,                0.63986,                  0.352,                0.62427,                 1.1096,                0.84362,                0.77616,                0.78264,                0.59382,                0.67604,                0.62978,                0.61926,                0.39273,                0.80711,                0.76465,                0.94425,                 1.2031,                0.00208,                0.00208,                0.00208
                     22,                0.58224,                0.33248,                0.53619,                 1.0619,                0.84756,                0.78514,                0.80901,                0.64336,                0.84026,                0.77816,                0.77577,                0.49311,                0.81842,                0.70372,                0.87776,                 1.1746,               0.001684,               0.001684,               0.001684
                     23,                0.59455,                0.31641,                0.53007,                 1.0448,                0.83875,                0.80628,                0.83515,                0.64576,                0.83538,                0.80276,                0.82324,                0.47549,                0.82545,                0.71657,                0.77756,                 1.2469,               0.001288,               0.001288,               0.001288
                     24,                0.56798,                0.31699,                0.51964,                 1.0355,                0.84855,                0.78672,                0.83882,                0.64363,                0.84457,                 0.7832,                0.82712,                0.48941,                0.75492,                 0.7349,                0.76261,                  1.161,               0.000892,               0.000892,               0.000892
                     25,                0.84845,                0.78672,                0.83857,                0.64378,                0.84484,                 0.7832,                0.82695,                0.50021,                0.75479,                0.73486,                0.76251,                 1.1609
